date,home_time,school_time,travel_time,orthers,shopping,working,recreational_activities,date_in_week,volunteer,location_names
01:04:2013,7316.0,8284.0,1200.0,0.0,0.0,0.0,0.0,0,1,"Sudikoff Hall,Sudikoff Hall,Dana Circle Parking Lot,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
01:05:2013,19200.0,61200.0,0.0,0.0,0.0,0.0,0.0,2,1,"Dartmouth College,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,0,0,0,Life Sciences Greenhouse,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Dartmouth College,Sudikoff Hall"
01:06:2013,24596.0,0.0,0.0,3000.0,607.0,0.0,0.0,5,1,"0,0,Farm-Way Inc.,0,0,0,Kendal at Hanover"
02:04:2013,16803.0,5999.0,0.0,0.0,0.0,0.0,69598.0,1,1,"Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Anonymous Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Alumni Gymnasium"
02:05:2013,2400.0,105586.0,0.0,0.0,0.0,0.0,0.0,3,1,"Life Sciences Greenhouse,Class of 1978 Life Sciences Center"
03:04:2013,8409.0,8400.0,6000.0,56391.0,0.0,0.0,0.0,2,1,"Commercial Drive,White River Junction Historic District,Sudikoff Hall,0,Class of 1978 Life Sciences Center,Guarini Institute for International Education,South Block Parking Garage,Johnson Audiology,South Block Parking Garage,Dartmouth College"
03:05:2013,0.0,0.0,2399.0,34800.0,0.0,0.0,67201.0,4,1,"St Pancras International Station,Midland Road,Midland Road,St Pancras Renaissance London Hotel,St Pancras International Station,St Pancras Renaissance London Hotel"
04:04:2013,28800.0,6000.0,1200.0,50400.0,0.0,0.0,0.0,3,1,"Dartmouth College,Dartmouth College,Byrne II Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Big Green Real Estate,Dartmouth College,Vail Dartmouth Medical School,Class of 1978 Life Sciences Center"
04:05:2013,0.0,0.0,0.0,50706.0,0.0,0.0,0.0,5,1,8
05:04:2013,65999.0,9602.0,4800.0,4799.0,0.0,0.0,1200.0,4,1,"Class of 1978 Life Sciences Center,Sudikoff Hall,Sudikoff Hall,Dartmouth College,South Block Parking Garage,South Block Parking Garage,Johnson Audiology,Dartmouth College,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Sudikoff Hall,Simon Pearce,South Block Parking Garage"
05:05:2013,10796.0,0.0,2400.0,0.0,0.0,0.0,79200.0,-1,1,"0,Place du Lieutenant Henri Karcher,Issé Izakaya,Musée d'Orsay,0"
