date,home_time,recreational_activities,school_time,travel_time,orthers,shopping,date_in_week,volunteer,location_names
01:04:2013,51601.0,2400.0,6000.0,2399.0,0.0,0.0,0,28,"Ripley Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Ripley Hall,Ripley Hall,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Dana Circle Parking Lot,Thornton Hall,Bartlett Hall,Dartmouth College"
01:05:2013,74400.0,0.0,8400.0,0.0,0.0,0.0,2,28,"Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Bartlett Hall"
01:06:2013,4800.0,0.0,2397.0,0.0,0.0,0.0,5,28,"Sudikoff Hall,Sudikoff Hall,Ripley Hall,Ripley Hall,Ripley Hall"
02:04:2013,90002.0,0.0,0.0,0.0,0.0,0.0,1,28,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall"
02:05:2013,58800.0,0.0,26400.0,0.0,0.0,0.0,3,28,"Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth Hall,Ripley Hall,Dartmouth College,Dartmouth College,Ripley Hall,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse"
03:04:2013,60002.0,0.0,21596.0,0.0,1200.0,0.0,2,28,"Dartmouth Hall,Thornton Hall,Bartlett Hall,Thornton Hall,Dartmouth College,Carson Hall,Dartmouth College,Wide Babelki Bowl,Ripley Hall,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Thornton Hall,Bartlett Hall,Thornton Hall,Dartmouth College"
03:05:2013,71529.0,0.0,17999.0,0.0,0.0,0.0,4,28,"Ripley Hall,Dartmouth College,Carson Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Bartlett Hall"
04:04:2013,80400.0,2400.0,3600.0,0.0,0.0,0.0,3,28,"Ripley Hall,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,0,Ripley Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center"
04:05:2013,120049.0,0.0,1200.0,0.0,0.0,0.0,5,28,"Dartmouth College,Dartmouth College,Bartlett Hall,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall"
05:04:2013,68400.0,0.0,18000.0,0.0,0.0,0.0,4,28,"Dartmouth College,Dartmouth College,Dartmouth Hall,Bartlett Hall,Dartmouth College,Ripley Hall,Dartmouth Hall,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Thornton Hall,Thornton Hall,Dartmouth College"
05:05:2013,72000.0,0.0,0.0,0.0,0.0,0.0,-1,28,Ripley Hall
06:04:2013,132000.0,0.0,0.0,1200.0,0.0,0.0,5,28,"Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall,Ripley Woodward Smith Parking Lot,Ripley Hall"
06:05:2013,57600.0,0.0,4800.0,0.0,0.0,0.0,0,28,"Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Bartlett Hall,Bartlett Hall,Dartmouth College"
07:04:2013,73200.0,0.0,0.0,0.0,0.0,0.0,-1,28,Ripley Hall
07:05:2013,93600.0,0.0,0.0,0.0,0.0,0.0,1,28,"Ripley Hall,Ripley Hall,Ripley Hall"
08:04:2013,148731.0,0.0,9600.0,0.0,0.0,0.0,0,28,"Ripley Hall,Dartmouth Hall,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Thornton Hall,Thornton Hall,Bartlett Hall,Ripley Hall"
08:05:2013,67203.0,0.0,11997.0,0.0,0.0,0.0,2,28,"Ripley Hall,Ripley Hall,Dartmouth College,Carson Hall,Sudikoff Hall,Sudikoff Hall,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Anonymous Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Bartlett Hall,Bartlett Hall,Dartmouth College"
09:05:2013,100800.0,0.0,0.0,0.0,0.0,0.0,3,28,"Dartmouth College,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall"
