date,home_time,school_time,travel_time,date_in_week,volunteer
03:04:2013 ,1200.0,7200.0,0.0,2,40
04:04:2013 ,24000.0,66000.0,0.0,3,40
05:04:2013 ,26400.0,72000.0,0.0,4,40
06:04:2013 ,37200.0,36000.0,0.0,5,40
07:04:2013 ,266123.0,7200.0,0.0,-1,40
10:04:2013 ,19200.0,2406.0,75600.0,2,40
11:04:2013 ,200060.0,1201.0,0.0,3,40
13:04:2013 ,1200.0,0.0,57600.0,5,40
14:04:2013 ,6000.0,0.0,70800.0,-1,40
15:04:2013 ,32400.0,0.0,73200.0,0,40
16:04:2013 ,0.0,0.0,70800.0,1,40
17:04:2013 ,1200.0,0.0,146400.0,2,40
19:04:2013 ,3600.0,0.0,98400.0,4,40
20:04:2013 ,9600.0,0.0,67200.0,5,40
21:04:2013 ,62400.0,0.0,64800.0,-1,40
22:04:2013 ,0.0,0.0,90000.0,0,40
23:04:2013 ,0.0,0.0,115200.0,1,40
24:04:2013 ,0.0,0.0,25200.0,2,40
25:04:2013 ,0.0,0.0,40800.0,3,40
29:03:2013 ,0.0,0.0,489813.0,4,40
