date,home_time,school_time,travel_time,date_in_week,volunteer
01:04:2013 ,14400.0,3600.0,0.0,0,4
02:04:2013 ,155768.0,3600.0,0.0,1,4
03:04:2013 ,8398.0,4802.0,0.0,2,4
04:04:2013 ,158400.0,0.0,0.0,3,4
05:04:2013 ,14400.0,4800.0,0.0,4,4
06:04:2013 ,80400.0,0.0,0.0,5,4
07:04:2013 ,160800.0,0.0,0.0,-1,4
07:05:2013 ,90573.0,1201.0,1199.0,1,4
08:04:2013 ,8401.0,4799.0,0.0,0,4
08:05:2013 ,507600.0,1200.0,0.0,2,4
09:04:2013 ,159600.0,0.0,0.0,1,4
10:04:2013 ,9601.0,3600.0,1200.0,2,4
11:04:2013 ,250799.0,0.0,0.0,3,4
13:04:2013 ,8400.0,0.0,0.0,5,4
13:05:2013 ,1201.0,0.0,0.0,0,4
14:04:2013 ,164400.0,0.0,0.0,-1,4
14:05:2013 ,161087.0,0.0,0.0,1,4
15:04:2013 ,7200.0,0.0,0.0,0,4
15:05:2013 ,4800.0,0.0,0.0,2,4
16:04:2013 ,159601.0,0.0,0.0,1,4
17:04:2013 ,13199.0,0.0,0.0,2,4
18:04:2013 ,94800.0,0.0,0.0,3,4
19:04:2013 ,238219.0,0.0,0.0,4,4
21:04:2013 ,16800.0,0.0,0.0,-1,4
22:04:2013 ,81600.0,0.0,0.0,0,4
23:04:2013 ,251915.0,1200.0,0.0,1,4
25:04:2013 ,5987.0,0.0,0.0,3,4
26:04:2013 ,82756.0,4857.0,0.0,4,4
27:03:2013 ,7199.0,2399.0,0.0,2,4
27:04:2013 ,201600.0,4800.0,0.0,5,4
28:03:2013 ,81600.0,3600.0,0.0,3,4
29:03:2013 ,84000.0,2400.0,1200.0,4,4
29:04:2013 ,54000.0,0.0,0.0,0,4
30:03:2013 ,241200.0,0.0,0.0,5,4
30:04:2013 ,603601.0,0.0,0.0,1,4
