date,home_time,school_time,travel_time,orthers,shopping,recreational_activities,date_in_week,volunteer
01:04:2013 ,43200.0,15601.0,0.0,0.0,0.0,0.0,0,57
01:05:2013 ,49201.0,15600.0,9600.0,0.0,0.0,0.0,2,57
01:06:2013 ,14400.0,9600.0,0.0,1200.0,0.0,0.0,5,57
02:04:2013 ,0.0,1199.0,0.0,0.0,82800.0,0.0,1,57
02:05:2013 ,51600.0,45602.0,2399.0,0.0,0.0,0.0,3,57
03:04:2013 ,85221.0,26402.0,0.0,0.0,0.0,0.0,2,57
03:05:2013 ,2398.0,43204.0,0.0,50400.0,0.0,0.0,4,57
04:04:2013 ,10636.0,0.0,0.0,42000.0,0.0,0.0,3,57
04:05:2013 ,59598.0,3598.0,0.0,0.0,0.0,0.0,5,57
05:04:2013 ,42003.0,44076.0,0.0,2563.0,0.0,1201.0,4,57
05:05:2013 ,88606.0,0.0,0.0,0.0,0.0,0.0,-1,57
06:04:2013 ,245999.0,0.0,0.0,0.0,0.0,0.0,5,57
06:05:2013 ,77997.0,1224.0,4798.0,0.0,0.0,0.0,0,57
07:05:2013 ,43609.0,54044.0,2641.0,0.0,0.0,0.0,1,57
08:04:2013 ,34805.0,0.0,0.0,0.0,0.0,0.0,0,57
08:05:2013 ,0.0,496190.0,0.0,0.0,0.0,0.0,2,57
09:04:2013 ,44405.0,20392.0,0.0,0.0,0.0,0.0,1,57
10:04:2013 ,59998.0,27602.0,0.0,1198.0,0.0,0.0,2,57
11:04:2013 ,137999.0,16801.0,0.0,3600.0,0.0,0.0,3,57
12:04:2013 ,2400.0,33600.0,0.0,0.0,0.0,0.0,4,57
13:04:2013 ,60002.0,1200.0,1200.0,2400.0,0.0,0.0,5,57
13:05:2013 ,1198.0,21600.0,1200.0,0.0,0.0,0.0,0,57
14:04:2013 ,158400.0,0.0,0.0,0.0,0.0,0.0,-1,57
14:05:2013 ,54000.0,32400.0,1200.0,0.0,0.0,0.0,1,57
15:04:2013 ,1200.0,10800.0,0.0,0.0,0.0,0.0,0,57
15:05:2013 ,45599.0,8401.0,14400.0,0.0,0.0,0.0,2,57
16:04:2013 ,52800.0,30000.0,0.0,0.0,0.0,0.0,1,57
16:05:2013 ,51600.0,44401.0,11999.0,0.0,0.0,0.0,3,57
17:04:2013 ,58792.0,34800.0,0.0,0.0,0.0,8.0,2,57
17:05:2013 ,50400.0,24001.0,0.0,0.0,0.0,1199.0,4,57
18:04:2013 ,45600.0,45600.0,0.0,8401.0,3599.0,0.0,3,57
18:05:2013 ,94800.0,1200.0,0.0,0.0,0.0,0.0,5,57
19:04:2013 ,47998.0,10806.0,1200.0,0.0,0.0,2399.0,4,57
19:05:2013 ,85605.0,0.0,0.0,0.0,0.0,0.0,-1,57
20:04:2013 ,101997.0,14400.0,0.0,0.0,0.0,0.0,5,57
20:05:2013 ,57600.0,22800.0,0.0,0.0,0.0,0.0,0,57
21:04:2013 ,135477.0,0.0,0.0,0.0,0.0,0.0,-1,57
21:05:2013 ,48000.0,22805.0,1200.0,0.0,0.0,0.0,1,57
22:04:2013 ,1200.0,22800.0,0.0,0.0,0.0,0.0,0,57
22:05:2013 ,45597.0,43200.0,1198.0,0.0,0.0,0.0,2,57
23:04:2013 ,51600.0,15600.0,0.0,0.0,0.0,3600.0,1,57
23:05:2013 ,54000.0,33601.0,0.0,1199.0,0.0,0.0,3,57
24:04:2013 ,49200.0,36000.0,0.0,0.0,0.0,0.0,2,57
24:05:2013 ,55200.0,25200.0,0.0,1200.0,0.0,0.0,4,57
25:04:2013 ,72000.0,19200.0,0.0,0.0,0.0,0.0,3,57
25:05:2013 ,53999.0,55200.0,1200.0,1201.0,0.0,0.0,5,57
26:04:2013 ,49200.0,32400.0,0.0,0.0,0.0,0.0,4,57
26:05:2013 ,75346.0,1200.0,0.0,0.0,0.0,0.0,-1,57
27:03:2013 ,43201.0,4799.0,0.0,0.0,0.0,0.0,2,57
27:04:2013 ,178801.0,19200.0,0.0,0.0,0.0,0.0,5,57
27:05:2013 ,40800.0,27601.0,0.0,0.0,0.0,1199.0,0,57
28:03:2013 ,4801.0,35952.0,0.0,49198.0,0.0,0.0,3,57
28:05:2013 ,58070.0,32400.0,0.0,0.0,0.0,0.0,1,57
29:03:2013 ,45028.0,24051.0,0.0,220958.0,0.0,2398.0,4,57
29:04:2013 ,51600.0,22800.0,0.0,0.0,0.0,0.0,0,57
29:05:2013 ,55197.0,28803.0,1200.0,0.0,0.0,0.0,2,57
30:04:2013 ,55201.0,32401.0,0.0,0.0,0.0,0.0,1,57
30:05:2013 ,43200.0,51600.0,1200.0,0.0,0.0,0.0,3,57
31:05:2013 ,58804.0,10796.0,0.0,6000.0,0.0,0.0,4,57
