date,home_time,orthers,working,recreational_activities,school_time,shopping,travel_time,date_in_week,cut_class,class_schedule,volunteer
01:05:2013 ,78002.0,81598.0,4800.0,0.0,0.0,0.0,0.0,2,1.0,14400.0,43
02:04:2013 ,64800.0,0.0,15601.0,0.0,0.0,0.0,0.0,1,1.0,10500.0,43
02:05:2013 ,1200.0,0.0,4800.0,0.0,0.0,0.0,0.0,3,1.0,6900.0,43
03:04:2013 ,0.0,0.0,6000.0,8385.0,64799.0,1215.0,0.0,2,0.0,14400.0,43
03:05:2013 ,74400.0,2400.0,12000.0,0.0,0.0,0.0,0.0,4,1.0,6000.0,43
04:04:2013 ,0.0,0.0,17863.0,0.0,26420.0,0.0,38395.0,3,0.0,6900.0,43
04:05:2013 ,171493.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,43
05:04:2013 ,13200.0,1200.0,26843.0,0.0,49201.0,0.0,0.0,4,0.0,6000.0,43
06:04:2013 ,5999.0,0.0,10800.0,0.0,69600.0,0.0,0.0,5,0.0,0.0,43
06:05:2013 ,15909.0,0.0,26400.0,0.0,0.0,0.0,48891.0,0,1.0,7800.0,43
07:04:2013 ,153175.0,0.0,0.0,0.0,0.0,0.0,1200.0,-1,0.0,0.0,43
07:05:2013 ,52778.0,0.0,13200.0,7221.0,0.0,0.0,7201.0,1,1.0,10500.0,43
08:04:2013 ,13200.0,0.0,4800.0,0.0,2401.0,0.0,0.0,0,1.0,7800.0,43
08:05:2013 ,80928.0,0.0,4800.0,0.0,0.0,0.0,0.0,2,1.0,14400.0,43
09:04:2013 ,1199.0,0.0,12000.0,0.0,67200.0,0.0,0.0,1,0.0,10500.0,43
09:05:2013 ,164400.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1.0,6900.0,43
10:04:2013 ,60000.0,0.0,5999.0,0.0,20401.0,0.0,0.0,2,0.0,14400.0,43
10:05:2013 ,0.0,0.0,13200.0,0.0,0.0,0.0,0.0,4,1.0,6000.0,43
11:04:2013 ,2400.0,0.0,4803.0,1196.0,38417.0,0.0,38384.0,3,0.0,6900.0,43
11:05:2013 ,3600.0,0.0,0.0,82891.0,0.0,0.0,0.0,5,0.0,0.0,43
12:04:2013 ,33600.0,0.0,38400.0,0.0,20400.0,0.0,0.0,4,0.0,6000.0,43
12:05:2013 ,24001.0,0.0,0.0,0.0,0.0,0.0,136800.0,-1,0.0,0.0,43
13:04:2013 ,3601.0,0.0,3600.0,3599.0,68400.0,0.0,1200.0,5,0.0,0.0,43
13:05:2013 ,10800.0,0.0,3600.0,0.0,0.0,0.0,0.0,0,1.0,7800.0,43
14:04:2013 ,8400.0,0.0,51600.0,0.0,19200.0,0.0,8400.0,-1,0.0,0.0,43
14:05:2013 ,75600.0,0.0,3600.0,2400.0,0.0,0.0,0.0,1,1.0,10500.0,43
15:04:2013 ,0.0,0.0,37200.0,0.0,122400.0,0.0,0.0,0,0.0,7800.0,43
15:05:2013 ,68399.0,0.0,517676.0,3601.0,0.0,0.0,0.0,2,1.0,14400.0,43
16:04:2013 ,0.0,0.0,13200.0,0.0,0.0,0.0,0.0,1,1.0,10500.0,43
17:04:2013 ,10767.0,0.0,6000.0,0.0,7234.0,0.0,62399.0,2,1.0,14400.0,43
18:04:2013 ,3600.0,0.0,10800.0,0.0,68504.0,0.0,2400.0,3,0.0,6900.0,43
19:04:2013 ,24000.0,0.0,4800.0,2400.0,0.0,0.0,57600.0,4,1.0,6000.0,43
20:04:2013 ,163217.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,43
21:04:2013 ,1200.0,0.0,3600.0,0.0,4800.0,0.0,0.0,-1,0.0,0.0,43
21:05:2013 ,7200.0,0.0,12000.0,0.0,0.0,0.0,0.0,1,1.0,10500.0,43
22:04:2013 ,16800.0,0.0,6000.0,0.0,3600.0,0.0,64800.0,0,1.0,7800.0,43
22:05:2013 ,3600.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1.0,14400.0,43
23:04:2013 ,78000.0,0.0,3600.0,0.0,0.0,0.0,0.0,1,1.0,10500.0,43
24:04:2013 ,74400.0,0.0,9600.0,0.0,0.0,0.0,0.0,2,1.0,14400.0,43
25:04:2013 ,140574.0,0.0,7200.0,0.0,12000.0,0.0,0.0,3,0.0,6900.0,43
26:04:2013 ,14400.0,0.0,3600.0,0.0,0.0,0.0,1200.0,4,1.0,6000.0,43
27:04:2013 ,13200.0,21920.0,50400.0,0.0,0.0,0.0,0.0,5,0.0,0.0,43
28:03:2013 ,442980.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1.0,6900.0,43
28:04:2013 ,6000.0,0.0,0.0,0.0,140878.0,0.0,7922.0,-1,0.0,0.0,43
29:04:2013 ,13202.0,1198.0,4800.0,0.0,0.0,0.0,0.0,0,1.0,7800.0,43
30:04:2013 ,67200.0,0.0,15600.0,0.0,0.0,0.0,0.0,1,1.0,10500.0,43
