date,home_time,recreational_activities,school_time,orthers,working,travel_time,date_in_week,cut_class,class_schedule,volunteer,location_names,level
01:04:2013,68400.0,10800.0,4800.0,0.0,0.0,0.0,0,1.0,10500.0,8,"Hopkins Center for the Arts,Hopkins Center for the Arts,Morton Hall,Hopkins Center for the Arts,Morton Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Anonymous Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Alumni Gymnasium",4.25
01:05:2013,76798.0,2400.0,6002.0,0.0,0.0,0.0,2,0.0,3900.0,8,"Hopkins Center for the Arts,Wilder Hall,Wilder Hall,Morton Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Morton Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Hopkins Center for the Arts,Dartmouth College,Morton Hall",
02:04:2013,72000.0,13200.0,0.0,0.0,0.0,0.0,1,1.0,6600.0,8,"Alumni Gymnasium,Life Sciences Greenhouse,Life Sciences Greenhouse,Alumni Gymnasium,Alumni Gymnasium,Morton Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Morton Hall",
02:05:2013,80400.0,4858.0,0.0,3542.0,1200.0,0.0,3,1.0,6900.0,8,"Morton Hall,0,Life Sciences Greenhouse,Life Sciences Greenhouse,0,Alumni Gymnasium,Hopkins Center for the Arts,Hopkins Center for the Arts,Chi Heorot,Morton Hall,Dartmouth College,Life Sciences Greenhouse",
03:04:2013,67200.0,14400.0,6000.0,0.0,0.0,0.0,2,0.0,3900.0,8,"Dartmouth College,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Morton Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Alumni Gymnasium,Alumni Gymnasium",4.0
03:05:2013,73200.0,6002.0,3598.0,0.0,0.0,0.0,4,0.0,3000.0,8,"Wilder Hall,Wilder Hall,Brace Commons,0,Morton Hall",
04:04:2013,67200.0,13201.0,3600.0,0.0,1199.0,0.0,3,1.0,6900.0,8,"Alumni Gymnasium,Life Sciences Greenhouse,Life Sciences Greenhouse,Alumni Gymnasium,Alumni Gymnasium,Alumni Gymnasium,Morton Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Sigma Alpha Epsilon Fraternity,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Morton Hall,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center",4.0
04:05:2013,103201.0,10799.0,0.0,0.0,0.0,0.0,5,0.0,0.0,8,"Hopkins Center for the Arts,Hopkins Center for the Arts,Life Sciences Greenhouse,Life Sciences Greenhouse,Life Sciences Greenhouse,0,Alumni Gymnasium,Alumni Gymnasium,Morton Hall",
05:04:2013,329963.0,2533.0,7202.0,11668.0,0.0,1366.0,4,0.0,3000.0,8,"Life Sciences Greenhouse,Life Sciences Greenhouse,Wilder Hall,Wilder Hall,Morton Hall,Morton Hall,Alumni Gymnasium,0,Dartmouth College,Morton Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dana Circle Parking Lot,Hopkins Center for the Arts,Morton Hall",5.0
05:05:2013,138899.0,0.0,2402.0,0.0,2400.0,1505.0,-1,0.0,0.0,8,"Vail,Dartmouth College,Zahm Courtyard,Chi Heorot,0,Dartmouth College,Dartmouth College,Amarna,0,Dartmouth College,Dartmouth College,Morton Hall",
