date,home_time,recreational_activities,school_time,travel_time,orthers,date_in_week,cut_class,class_schedule,volunteer,level
01:04:2013,9601.0,1199.0,3600.0,0.0,0.0,0.0,1.0,7800.0,25.0,1.0
02:04:2013,170381.0,0.0,1219.0,0.0,0.0,1.0,1.0,10500.0,25.0,2.0
04:04:2013,79200.0,0.0,7200.0,0.0,0.0,3.0,0.0,6900.0,25.0,4.0
05:04:2013,85250.0,0.0,2400.0,0.0,0.0,4.0,1.0,6000.0,25.0,1.0
06:04:2013,96001.0,0.0,2400.0,0.0,0.0,5.0,0.0,0.0,25.0,4.0
07:04:2013,75600.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,25.0,
08:04:2013,76802.0,0.0,8398.0,0.0,0.0,0.0,0.0,7800.0,25.0,
09:04:2013,82802.0,0.0,15598.0,0.0,0.0,1.0,0.0,10500.0,25.0,3.0
10:04:2013,153601.0,0.0,0.0,0.0,0.0,2.0,1.0,14400.0,25.0,
11:04:2013,3599.0,0.0,2400.0,0.0,0.0,3.0,1.0,6900.0,25.0,
12:04:2013,80404.0,5997.0,0.0,0.0,0.0,4.0,1.0,6000.0,25.0,
13:04:2013,26400.0,0.0,1200.0,74400.0,0.0,5.0,0.0,0.0,25.0,3.0
14:04:2013,70800.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,25.0,
15:04:2013,87531.0,0.0,0.0,0.0,0.0,0.0,1.0,7800.0,25.0,
16:04:2013,92456.0,1200.0,0.0,1200.0,0.0,1.0,1.0,10500.0,25.0,3.5
17:04:2013,76813.0,0.0,0.0,0.0,0.0,2.0,1.0,14400.0,25.0,
18:04:2013,94765.0,1200.0,0.0,0.0,0.0,3.0,1.0,6900.0,25.0,1.0
19:04:2013,71069.0,5766.0,0.0,0.0,0.0,4.0,1.0,6000.0,25.0,
20:04:2013,49369.0,0.0,2231.0,0.0,38719.0,5.0,0.0,0.0,25.0,
21:04:2013,82059.0,1199.0,0.0,0.0,0.0,-1.0,0.0,0.0,25.0,
22:04:2013,85260.0,0.0,0.0,0.0,0.0,0.0,1.0,7800.0,25.0,
23:04:2013,100800.0,0.0,1198.0,0.0,0.0,1.0,1.0,10500.0,25.0,
24:04:2013,72000.0,0.0,0.0,0.0,0.0,2.0,1.0,14400.0,25.0,
25:04:2013,52630.0,1197.0,0.0,0.0,31309.0,3.0,1.0,6900.0,25.0,
26:04:2013,21664.0,0.0,0.0,0.0,0.0,4.0,1.0,6000.0,25.0,
28:03:2013,158398.0,0.0,1202.0,0.0,0.0,3.0,1.0,6900.0,25.0,4.0
29:03:2013,3601.0,0.0,9599.0,0.0,0.0,4.0,0.0,6000.0,25.0,1.0
30:03:2013,87600.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,25.0,2.5
31:03:2013,158668.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,25.0,4.0
