date,home_time,school_time,travel_time,orthers,recreational_activities,date_in_week,cut_class,class_schedule,volunteer,level
01:05:2013,85200.0,0.0,0.0,0.0,0.0,2.0,1.0,11700.0,45.0,
02:05:2013,86400.0,0.0,0.0,0.0,0.0,3.0,1.0,7800.0,45.0,
03:04:2013,69605.0,1199.0,0.0,0.0,0.0,2.0,1.0,11700.0,45.0,4.5
03:05:2013,87601.0,0.0,0.0,0.0,0.0,4.0,1.0,9000.0,45.0,
04:04:2013,85197.0,0.0,0.0,0.0,0.0,3.0,1.0,7800.0,45.0,4.0
04:05:2013,88799.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,45.0,
05:04:2013,81599.0,4800.0,0.0,0.0,0.0,4.0,1.0,9000.0,45.0,5.0
05:05:2013,84000.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,45.0,
06:04:2013,104400.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,45.0,2.5
06:05:2013,136608.0,0.0,0.0,0.0,0.0,0.0,1.0,11700.0,45.0,1.0
07:04:2013,68400.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,45.0,
07:05:2013,46800.0,0.0,0.0,0.0,0.0,1.0,1.0,3900.0,45.0,
08:04:2013,78000.0,8400.0,0.0,0.0,0.0,0.0,1.0,11700.0,45.0,
08:05:2013,75600.0,1200.0,0.0,0.0,0.0,2.0,1.0,11700.0,45.0,2.5
09:04:2013,120000.0,0.0,0.0,0.0,0.0,1.0,1.0,3900.0,45.0,3.3333333333333335
09:05:2013,87600.0,0.0,0.0,0.0,0.0,3.0,1.0,7800.0,45.0,1.0
10:04:2013,52800.0,0.0,0.0,0.0,0.0,2.0,1.0,11700.0,45.0,
10:05:2013,100800.0,0.0,0.0,0.0,0.0,4.0,1.0,9000.0,45.0,
11:04:2013,30000.0,0.0,55200.0,0.0,0.0,3.0,1.0,7800.0,45.0,
11:05:2013,54000.0,14400.0,0.0,0.0,0.0,5.0,0.0,0.0,45.0,
12:04:2013,87600.0,0.0,0.0,0.0,0.0,4.0,1.0,9000.0,45.0,
12:05:2013,106611.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,45.0,
13:04:2013,102000.0,0.0,15600.0,0.0,0.0,5.0,0.0,0.0,45.0,5.0
13:05:2013,73200.0,0.0,0.0,0.0,0.0,0.0,1.0,11700.0,45.0,
14:04:2013,115408.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,45.0,5.0
14:05:2013,91200.0,0.0,0.0,0.0,0.0,1.0,1.0,3900.0,45.0,
15:04:2013,30667.0,0.0,0.0,0.0,0.0,0.0,1.0,11700.0,45.0,5.0
15:05:2013,72907.0,0.0,0.0,1493.0,0.0,2.0,1.0,11700.0,45.0,
16:04:2013,98577.0,0.0,3600.0,0.0,0.0,1.0,1.0,3900.0,45.0,5.0
16:05:2013,87600.0,0.0,0.0,0.0,0.0,3.0,1.0,7800.0,45.0,
17:04:2013,56399.0,9599.0,1201.0,0.0,0.0,2.0,1.0,11700.0,45.0,
17:05:2013,85200.0,0.0,0.0,0.0,0.0,4.0,1.0,9000.0,45.0,
18:04:2013,44400.0,0.0,39601.0,0.0,0.0,3.0,1.0,7800.0,45.0,5.0
18:05:2013,87601.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,45.0,2.0
19:04:2013,85200.0,3600.0,0.0,0.0,0.0,4.0,1.0,9000.0,45.0,
19:05:2013,110399.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,45.0,
20:04:2013,84001.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,45.0,
20:05:2013,61200.0,0.0,0.0,0.0,0.0,0.0,1.0,11700.0,45.0,1.0
21:04:2013,87602.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,45.0,
21:05:2013,86400.0,0.0,0.0,0.0,0.0,1.0,1.0,3900.0,45.0,3.0
22:04:2013,87600.0,0.0,0.0,0.0,0.0,0.0,1.0,11700.0,45.0,
22:05:2013,88800.0,0.0,0.0,0.0,0.0,2.0,1.0,11700.0,45.0,
23:04:2013,84006.0,0.0,0.0,0.0,0.0,1.0,1.0,3900.0,45.0,
23:05:2013,84000.0,0.0,0.0,0.0,0.0,3.0,1.0,7800.0,45.0,
24:04:2013,85893.0,1205.0,0.0,0.0,0.0,2.0,1.0,11700.0,45.0,
24:05:2013,86400.0,0.0,0.0,0.0,0.0,4.0,1.0,9000.0,45.0,
25:04:2013,81602.0,0.0,2400.0,1700.0,0.0,3.0,1.0,7800.0,45.0,
25:05:2013,87600.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,45.0,1.0
26:04:2013,86401.0,1200.0,0.0,0.0,0.0,4.0,1.0,9000.0,45.0,
26:05:2013,85200.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,45.0,
27:04:2013,96373.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,45.0,
27:05:2013,94800.0,0.0,0.0,0.0,0.0,0.0,1.0,11700.0,45.0,
28:03:2013,529838.0,0.0,0.0,0.0,0.0,3.0,1.0,7800.0,45.0,
28:04:2013,79200.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,45.0,
28:05:2013,84002.0,0.0,0.0,0.0,16801.0,1.0,1.0,3900.0,45.0,
29:04:2013,82787.0,0.0,0.0,0.0,0.0,0.0,1.0,11700.0,45.0,
29:05:2013,138484.0,0.0,0.0,0.0,0.0,2.0,1.0,11700.0,45.0,
30:04:2013,86413.0,1200.0,0.0,0.0,0.0,1.0,1.0,3900.0,45.0,4.0
30:05:2013,64801.0,0.0,1199.0,0.0,0.0,3.0,1.0,7800.0,45.0,
31:05:2013,28800.0,0.0,0.0,0.0,0.0,4.0,1.0,9000.0,45.0,
