,tnv,distance,velocity,accelerate,week_date,date,hour in date,min in date,latitude,longitude,time,moving,active,time_difference,address,type,address_type,hall,nation,count
28,40,864.33147845175,0.7184800319632169,0.000597240259321,5,29:03:2013 ,6,29,43.7003595,-72.2893004,1364513344,True,1.0,,"South Street, Hanover, Grafton County, New Hampshire, 03755, United States",parking,amenity,,us,1.0
69,40,2.484456563682504,0.0020703804697354,1.7253170581128496e-06,3,03:04:2013 ,22,32,43.7066315,-72.2867075,1365003157,False,0.0,489813.0,"Dartmouth College, College Street, Hanover, Grafton County, New Hampshire, 03755, United States",university,amenity,Dartmouth College,us,17.0
104,40,23.8150818769128,0.019845901564094,1.6538251303411667e-05,3,03:04:2013 ,22,52,43.706805,-72.2866703,1365004357,True,1.0,1200.0,"Sudikoff Hall, 9, Maynard Street, Hanover, Grafton County, New Hampshire, 03755, United States",university,building,Sudikoff Hall,us,5.0
29,40,24.336680471595724,0.0202805670596631,1.6900472549719252e-05,3,03:04:2013 ,23,12,43.7066277,-72.2871538,1365005557,True,1.0,1200.0,"Sudikoff Hall, 9, Maynard Street, Hanover, Grafton County, New Hampshire, 03755, United States",university,building,Sudikoff Hall,us,20.0
30,40,20.08153897997861,0.0167346158166488,1.3945513180540703e-05,4,04:04:2013 ,0,52,43.7066178,-72.2869486,1365011557,True,1.0,6000.0,"Sudikoff Hall, 9, Maynard Street, Hanover, Grafton County, New Hampshire, 03755, United States",university,building,Sudikoff Hall,us,20.0
135,40,66.59979383099551,0.0554998281924962,4.624985682708021e-05,4,04:04:2013 ,8,52,43.7071688,-72.2861764,1365040357,True,1.0,28800.0,"Berry Hall, 10, Maynard Street, Hanover, Grafton County, New Hampshire, 03755, United States",dormitory,building,Berry Hall,us,3.0
70,40,60.51905491936213,0.0504325457661351,4.202712147177926e-05,4,04:04:2013 ,9,12,43.7067279,-72.2867663,1365041557,True,1.0,1200.0,"Dartmouth College, College Street, Hanover, Grafton County, New Hampshire, 03755, United States",university,amenity,Dartmouth College,us,17.0
31,40,24.58376364201629,0.0204864697016802,1.7072058084733534e-05,4,04:04:2013 ,12,32,43.7065524,-72.2870864,1365053557,True,1.0,12000.0,"Sudikoff Hall, 9, Maynard Street, Hanover, Grafton County, New Hampshire, 03755, United States",university,building,Sudikoff Hall,us,20.0
71,40,22.71699072022013,0.0189308256001834,1.5775688000152872e-05,4,04:04:2013 ,12,52,43.7067179,-72.2868459,1365054757,True,1.0,1200.0,"Dartmouth College, College Street, Hanover, Grafton County, New Hampshire, 03755, United States",university,amenity,Dartmouth College,us,17.0
32,40,22.27774961192476,0.0185647913432706,1.5470659452725526e-05,4,04:04:2013 ,13,12,43.7065556,-72.2870565,1365055957,True,1.0,1200.0,"Sudikoff Hall, 9, Maynard Street, Hanover, Grafton County, New Hampshire, 03755, United States",university,building,Sudikoff Hall,us,20.0
128,40,29.11342321842084,0.0242611860153506,2.021765501279225e-05,4,04:04:2013 ,16,32,43.7068221,-72.2868042,1365067957,True,1.0,12000.0,"Sudikoff Hall, 9, Maynard Street, Hanover, Grafton County, New Hampshire, 03755, United States",university,building,Sudikoff Hall,us,2.0
33,40,28.454561772499137,0.0237121348104159,1.976011234201329e-05,4,04:04:2013 ,16,52,43.7066148,-72.2869202,1365069157,True,1.0,1200.0,"Sudikoff Hall, 9, Maynard Street, Hanover, Grafton County, New Hampshire, 03755, United States",university,building,Sudikoff Hall,us,20.0
34,40,28.23495031884097,0.0235291252657008,1.9607604388084004e-05,4,04:04:2013 ,19,12,43.7065595,-72.2871291,1365077557,True,1.0,8400.0,"Sudikoff Hall, 9, Maynard Street, Hanover, Grafton County, New Hampshire, 03755, United States",university,building,Sudikoff Hall,us,20.0
72,40,9.416222969045638,0.0078468524742046,6.539043728503915e-06,4,04:04:2013 ,20,12,43.7067451,-72.2867905,1365081157,False,0.0,3600.0,"Dartmouth College, College Street, Hanover, Grafton County, New Hampshire, 03755, United States",university,amenity,Dartmouth College,us,17.0
35,40,26.491715275529,0.0220764293962741,1.8397024496895137e-05,4,04:04:2013 ,20,32,43.7065521,-72.2870563,1365082357,True,1.0,1200.0,"Sudikoff Hall, 9, Maynard Street, Hanover, Grafton County, New Hampshire, 03755, United States",university,building,Sudikoff Hall,us,20.0
114,40,20.534510468752465,0.0171120920572937,1.4260076714411434e-05,4,04:04:2013 ,23,32,43.7067272,-72.2869803,1365093157,True,1.0,10800.0,"Dartmouth College, College Street, Hanover, Grafton County, New Hampshire, 03755, United States",university,amenity,Dartmouth College,us,2.0
73,40,23.54056066959198,0.0196171338913266,1.634761157610554e-05,5,05:04:2013 ,1,52,43.706772,-72.2867256,1365101557,True,1.0,8400.0,"Dartmouth College, College Street, Hanover, Grafton County, New Hampshire, 03755, United States",university,amenity,Dartmouth College,us,17.0
36,40,25.50341893837492,0.0212528491153124,1.771070759609369e-05,5,05:04:2013 ,2,12,43.7065862,-72.2870415,1365102757,True,1.0,1200.0,"Sudikoff Hall, 9, Maynard Street, Hanover, Grafton County, New Hampshire, 03755, United States",university,building,Sudikoff Hall,us,20.0
105,40,20.726669966340424,0.0172722249719503,1.4393520809958629e-05,5,05:04:2013 ,7,32,43.7067999,-72.2866497,1365121957,True,1.0,19200.0,"Sudikoff Hall, 9, Maynard Street, Hanover, Grafton County, New Hampshire, 03755, United States",university,building,Sudikoff Hall,us,5.0
74,40,14.220419848335355,0.0118503498736127,9.875291561343998e-06,5,05:04:2013 ,8,32,43.706744,-72.2866977,1365125557,False,0.0,3600.0,"Dartmouth College, College Street, Hanover, Grafton County, New Hampshire, 03755, United States",university,amenity,Dartmouth College,us,17.0
37,40,21.98949441743532,0.018324578681196,1.527048223433008e-05,5,05:04:2013 ,8,52,43.7065838,-72.2870788,1365126757,True,1.0,1200.0,"Sudikoff Hall, 9, Maynard Street, Hanover, Grafton County, New Hampshire, 03755, United States",university,building,Sudikoff Hall,us,20.0
75,40,21.014929228210068,0.0175124410235083,1.459370085292366e-05,5,05:04:2013 ,9,12,43.7067369,-72.2867191,1365127957,True,1.0,1200.0,"Dartmouth College, College Street, Hanover, Grafton County, New Hampshire, 03755, United States",university,amenity,Dartmouth College,us,17.0
76,40,20.8227636033585,0.0173523030027987,1.4460252502332291e-05,5,05:04:2013 ,12,32,43.706717,-72.286719,1365139957,True,1.0,12000.0,"Dartmouth College, College Street, Hanover, Grafton County, New Hampshire, 03755, United States",university,amenity,Dartmouth College,us,17.0
38,40,20.61687468615302,0.0171807289051275,1.4317274087606265e-05,5,05:04:2013 ,14,12,43.7065207,-72.2871097,1365145957,True,1.0,6000.0,"Sudikoff Hall, 9, Maynard Street, Hanover, Grafton County, New Hampshire, 03755, United States",university,building,Sudikoff Hall,us,20.0
77,40,23.14250119934318,0.0192854176661193,1.6071181388432763e-05,5,05:04:2013 ,18,52,43.7067514,-72.2867434,1365162757,True,1.0,16800.0,"Dartmouth College, College Street, Hanover, Grafton County, New Hampshire, 03755, United States",university,amenity,Dartmouth College,us,17.0
