,tnv,distance,velocity,accelerate,week_date,date,hour in date,min in date,latitude,longitude,time,moving,active,time_difference,address,type,address_type,hall,nation,count
639,20,217.4774220622939,0.1810802848145661,0.0001507745918522,3,27:03:2013 ,21,6,43.7088457,-72.2839017,1364393163,True,1.0,,"Class of 1978 Life Sciences Center, 78, College Street, Hanover, Grafton County, New Hampshire, 03755, United States",university,building,Class of 1978 Life Sciences Center,us,5.0
543,20,9.539651922929304,0.0079497099357744,6.624758279812016e-06,3,27:03:2013 ,22,6,43.7086822,-72.2836366,1364396762,False,0.0,3599.0,"Class of 1978 Life Sciences Center, 78, College Street, Hanover, Grafton County, New Hampshire, 03755, United States",university,building,Class of 1978 Life Sciences Center,us,6.0
412,20,196.24313354383264,0.1635359446198605,0.0001362799538498,3,27:03:2013 ,22,26,43.7072525,-72.2860152,1364397962,True,1.0,1200.0,"Berry Hall, 10, Maynard Street, Hanover, Grafton County, New Hampshire, 03755, United States",dormitory,building,Berry Hall,us,56.0
413,20,13.410530161579375,0.0111754418013161,9.312868167763457e-06,3,27:03:2013 ,23,6,43.707168,-72.2861303,1364400362,False,0.0,2400.0,"Berry Hall, 10, Maynard Street, Hanover, Grafton County, New Hampshire, 03755, United States",dormitory,building,Berry Hall,us,56.0
116,20,127.0915616372649,0.1058214501559241,8.811111586671452e-05,3,27:03:2013 ,23,26,43.7062421,-72.2890705,1364401563,True,1.0,1201.0,"Dartmouth College, Downing Road, Hanover, Grafton County, New Hampshire, 03755, United States",university,amenity,Dartmouth College,us,26.0
194,20,12.381136567585038,0.0103176138063208,8.598011505267387e-06,4,28:03:2013 ,0,6,43.7061088,-72.2892383,1364403962,False,0.0,2399.0,"Dartmouth College, Downing Road, Hanover, Grafton County, New Hampshire, 03755, United States",university,amenity,Dartmouth College,us,14.0
117,20,21.72875325831621,0.0181072943819301,1.5089411984941812e-05,4,28:03:2013 ,0,26,43.7062671,-72.2890861,1364405162,True,1.0,1200.0,"Dartmouth College, Downing Road, Hanover, Grafton County, New Hampshire, 03755, United States",university,amenity,Dartmouth College,us,26.0
342,20,375.925254514042,0.3130102035920416,0.0002606246491191,4,28:03:2013 ,0,46,43.7035284,-72.2898115,1364406363,True,1.0,1201.0,"McNutt Hall, 10, North Main Street, Hanover, Grafton County, New Hampshire, 03755, United States",university,building,McNutt Hall,us,1.0
468,20,108.92016230901892,0.0907668019241824,7.563900160348536e-05,4,28:03:2013 ,1,6,43.7027349,-72.2899297,1364407563,True,1.0,1200.0,"Collis Student Center, 2, North Main Street, Hanover, Grafton County, New Hampshire, 03755, United States",university,building,Collis Student Center,us,16.0
668,20,399.03475414351715,0.1661260425243618,6.916154976035047e-05,4,28:03:2013 ,8,6,43.6998981,-72.291582,1364432764,True,1.0,25201.0,"17, School Street, Hanover, Grafton County, New Hampshire, 03755, United States",apartments,building,,us,4.0
393,20,403.77047829611973,0.1682376992900499,7.009904137085412e-05,4,28:03:2013 ,19,46,43.7028146,-72.290015,1364474762,True,1.0,41998.0,"Collis Student Center, 2, North Main Street, Hanover, Grafton County, New Hampshire, 03755, United States",university,building,Collis Student Center,us,19.0
394,20,2.3197908493719637,0.0019331590411433,1.6109658676194192e-06,4,28:03:2013 ,20,46,43.7028045,-72.2899926,1364478362,False,0.0,3600.0,"Collis Student Center, 2, North Main Street, Hanover, Grafton County, New Hampshire, 03755, United States",university,building,Collis Student Center,us,19.0
549,20,234.06665589240484,0.1948931356306451,0.000162275716595,4,28:03:2013 ,21,6,43.7010993,-72.2866683,1364479563,True,1.0,1201.0,"Black Family Visual Arts Center, 22, Lebanon Street, Hanover, Grafton County, New Hampshire, 03755, United States",arts_centre,amenity,Black Family Visual Arts Center,us,33.0
544,20,1043.3859770574484,0.4347441571072701,0.0001811433987946,4,28:03:2013 ,23,26,43.7086647,-72.2836453,1364487962,True,1.0,8399.0,"Class of 1978 Life Sciences Center, 78, College Street, Hanover, Grafton County, New Hampshire, 03755, United States",university,building,Class of 1978 Life Sciences Center,us,6.0
582,20,36.0173173328499,0.0300144311107082,2.5012025925590207e-05,4,28:03:2013 ,23,46,43.7089271,-72.2840177,1364489162,True,1.0,1200.0,"Life Sciences Greenhouse, 78, College Street, Hanover, Grafton County, New Hampshire, 03755, United States",house,place,Life Sciences Greenhouse,us,37.0
624,20,1072.114413470589,0.8934286778921574,0.0007445238982434,5,29:03:2013 ,0,6,43.7011165,-72.2868261,1364490362,True,1.0,1200.0,"Black Family Visual Arts Center, 22, Lebanon Street, Hanover, Grafton County, New Hampshire, 03755, United States",arts_centre,amenity,Black Family Visual Arts Center,us,2.0
496,20,73.28677205091019,0.0610214588267362,5.080887495981366e-05,5,29:03:2013 ,3,6,43.701626,-72.2880642,1364501163,True,1.0,10801.0,"Hopkins Center for the Arts, 4, East Wheelock Street, Hanover, Grafton County, New Hampshire, 03755, United States",arts_centre,amenity,Hopkins Center for the Arts,us,8.0
0,20,684.3332808102903,0.2852577243894499,0.0001189069297163,5,29:03:2013 ,3,46,43.7066115,-72.287021,1364503562,True,1.0,2399.0,"Sudikoff Hall, 9, Maynard Street, Hanover, Grafton County, New Hampshire, 03755, United States",university,building,Sudikoff Hall,us,116.0
1,20,3.1982234986515174,0.0026651862488762,2.2209885407302207e-06,5,29:03:2013 ,4,6,43.7065882,-72.2870319,1364504762,False,0.0,1200.0,"Sudikoff Hall, 9, Maynard Street, Hanover, Grafton County, New Hampshire, 03755, United States",university,building,Sudikoff Hall,us,116.0
